Channel1,225,18,9
Channel2,189,15,9
Channel3,150,12,6
Channel4,114,9,6
Channel5,153,12,9
Channel6,189,15,9
Channel7,228,19,0
Channel8,264,22,0
Channel9,419,34,11
Channel10,383,31,11
Channel11,344,28,8
Channel12,308,25,8
Channel13,347,28,11
Channel14,383,31,11
Channel15,422,35,2
Channel16,458,38,2
Channel17,305,25,5
Channel18,269,22,5
Channel19,230,19,2
Channel20,194,16,2
Channel21,233,19,5
Channel22,269,22,5
Channel23,308,25,8
Channel24,344,28,8
Channel25,499,41,7
Channel26,463,38,7
Channel27,424,35,4
Channel28,388,32,4
Channel29,427,35,7
Channel30,463,38,7
Channel31,502,41,10
Channel32,538,44,10
